Produto,peso,Preço,Categoria,Estoque,Descrição,SKU,Imagem
Condicionador EcoBarber 800 mL,800 mL,35,Ecobarber,Em estoque,Com o Condicionador Restaurador EcoBarber For Men os cabelos recebem nutrição profunda. O Extrato de Jaborandi age como estimulante celular e melhora o brilho. Auxilia na queda capilar. O Extrato de Mandioca possui propriedades hidratantes e emolientes. Cuidados especiais para homens modernos!,HRYL6GJ66,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-ecobarber-1l-646d091943673-large.png
Condicionador Extrato de Algas Marinhas Eco Belle 1 L,1 L,"34,99",Algas Marinhas,Em estoque,"O Condicionador Hidratante Algas Marinhas Eco Belle foi formulado para promover a reposição de nutrientes importantes para a fibra capilar. Penetra profundamente nos fios, dando brilho e maciez, deixando os cabelos saudáveis, nutridos e fáceis de pentear. Possui ação imediata.",LJNMFY4VX,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-extrato-de-algas-marinhas-eco-belle-1-l-65faedce4c2fc-large.png
Condicionador HidraSim Bela Pro 500 mL,500 mL,28,Bela Pro,Em estoque,"A linha HidraSim da Bela Pro, foi desenvolvida para doar mais hidratação aos cabelos sensibilizados e devolver vida aos fios. Fórmula enriquecida com Pantenol, ativo fundamental para hidratação profunda dos fios por possuir o poder de atrair e reter a umidade dos cabelos, além de combater radicais livres. Silicones especiais também contemplam a formulação dando mais efeito aos cabelos danificados, resultando num cabelo macio, hidratado e com muito brilho!",XFGMQY4RW,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-hidrasim-bela-pro-500-ml-65373a203c4aa-large.png
Condicionador La boue Home Care Blanc 300ml,300ml,40,Condicionador,Em estoque,"O Condicionador Fortalecedor Home Care La Boue Blanc veio para complementar os cuidados com os cabelos promovendo efeito de salão! Com ativos de última geração, o Condicionador Fortalecedor nutre profundamente os cabelos e protege contra danos diários que afetam diretamente a fibra capilar. O Extrato de Mandioca fortalece e hidrata enquanto o Óleo de Girassol age controlando o frizz, nutrindo, prevenindo contra quebra e a queda dos cabelos",8YHKWEN8R,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-la-boue-home-care-blanc-300ml-6479f3683916e-large.png
Condicionador La Boue Home Care Verte 300ml,300ml,40,Condicionador,Em estoque,"O Condicionador Reestruturante Home Care La Boue Vert da Eco Belle age profundamente nos fios. Elaborado para continuar os cuidados dos cabelos em casa, o Condicionador Reestruturante possui em sua formulação o Extrato de Coco que devolve o brilho aos fios e a Proteína da Seda que hidrata e melhora a força elástica capilar, formando um filme nos cabelos, protegendo-os contra agentes externos agressivos.",VLL9VL3WH,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-la-boue-home-care-verte-300ml-6479fc9f8aff9-large.png
"Condicionador Leite de Coco 2,5 L","2,5 L",110,Condicionador,Em estoque,"Grupo EcoBelle: A beleza natural, social e ambiental. Transbordando amor e empreendedorismo.",2XFPQEJHA,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-leite-de-coco-25-l-6927b1be7296e-large.png
Condicionador Liso Mágico Bela Pro 300 mL,300 mL,22,Bela Pro,Em estoque,"A linha LISO MÁGICO BELA PRO, foi elaborada para cuidar dos cabelos lisos naturais ou quimicamente tratados. É uma linha completa, que busca tratar o cabelo de dentro para fora, deixando- o com vida, reduzindo volume e frizz ou melhor, promove uma restauração da fibra após procedimentos químicos, que muita das vezes acabam prejudicando os fios. Conta com ativos de alta performance, que melhoram a saúde dos fios, dando maciez, brilho e um efeito liso prolongado.",57DY6ECTU,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-liso-magico-bela-pro-300-ml-65372e9d34eb5-large.png
Condicionador Matizador Eco Belle 1 L - NOVA EMBALAGEM,1 L,120,Blond Hair,Em estoque,"O Condicionador Matizador Eco Belle 1L é indicado para neutralizar a tonalidade amarelada ou dourada que vai se formando nos fios com o passar do tempo. Possui em sua composição o poderoso Violet 43, que tem a exclusiva propriedade de ocultar as matizes amarelas frequentemente percebidas em cabelo cinza ou descorado.Resultado: Cabelos macios, sedosos, luminosos e maleáveis.Modo de Usar: Após enxaguar o Shampoo Matizador Eco Belle, retire o excesso de água com uma toalha e aplique o Condicionador Matizador começando pelas pontas evitando aproximar-se da raiz. Massageie suavemente até que todos os fios fiquem macios. Deixe agir por alguns minutos e enxágue abundantemente. Finalize como desejar.",P2M2DEK4D,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-matizador-eco-belle-1-l-nova-embalagem-6927af3258c88-large.png
Condicionador Matizador Silver Eco Belle 300ml,300ml,40,Condicionador,Em estoque,"O Condicionador Matizador Eco Belle foi formulado especialmente para os cabelos loiros. Neutraliza a tonalidade dourada que vai se formando com o passar do tempo nos cabelos loiros e realça um tom mais platinado. Deixa os cabelos macios, sedosos, luminosos e maleáveis.",QG732NABK,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-matizador-silver-eco-belle-300ml-674125986d4d4-large.png
Condicionador NutriSim Bela Pro 500 mL,500 mL,28,Bela Pro,Em estoque,"A linha Nutrisim Bela Pro foi desenvolvida com os mais poderosos ativos naturais para nutrir e revitalizar os fios secos, fracos ou quebradiços. A Manteiga de Karité presente na formulação contém Vitamina E com ação antioxidante, que remove células mortas e funciona como um excelente emoliente para os fios. Sua propriedade umectante auxilia na absorção e retenção da umidade dos cabelos. Outro poderoso ativo natural presente na composição é o Óleo de Coco rico em ácidos graxos e proteínas que ajudam no fortalecimento dos fios e protege contra a perda de proteína da fibra capilar, além de ter um alto poder de combate à pontas secas. Essa combinação de elementos é o que resulta em fios nutridos, macios e com brilho intenso, digno de salão de beleza!",WXM657UMY,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-nutrisim-bela-pro-500-ml-65373679b86bf-large.png
Condicionador Pimenta Rosa Eco Belle 300 mL,300 mL,35,Condicionador,Em estoque,"O Condicionador Pimenta Rosa Eco Belle faz parte de uma linha completa tendo como ativo o óleo de Pimenta Rosa proporcionando vários benefícios para os cabelos. Rica em vitaminas A, B1, B6, C e ácido fólico, dão aos cabelos brilho e força à medida que a capsaicina, outro composto do maravilhoso óleo de pimenta rosa, auxilia no crescimento dos fios por estimular a circulação do sangue e irrigar o bulbo capilar. Com esse misto de benefícios o resultado é de cabelos sedosos, cheios e com muito brilho!",V58UBR2JL,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-pimenta-rosa-eco-belle-300-ml-64ef8e1f89285-large.png
Condicionador Silver Platinum Bela Pro 300 mL,300 mL,23,Bela Pro,Em estoque,"A linha Silver Platinum Bela Pro foi especialmente desenvolvida para cabelos loiros, descoloridos, com mechas ou grisalhos. Sua fórmula possui o poderoso Jaracol Violet 43 que tem a exclusiva propriedade de ocultar as matizes amarelas nos cabelos desbotados. O extrato de Macadâmia auxilia no condicionamento e hidratação deixando os cabelos mais emolientes. Resultado: Cabelos mais iluminados e macios!",DQ8XYALBH,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-silver-platinum-bela-pro-300-ml-65373307cd300-large.png
Creme de Pentear/ Leave-in NutriSim Bela Pro 500 mL,500 mL,28,Bela Pro,Em estoque,"A linha Nutrisim Bela Pro foi desenvolvida com os mais poderosos ativos naturais para nutrir e revitalizar os fios secos, fracos ou quebradiços. A Manteiga de Karité presente na formulação contém Vitamina E com ação antioxidante, que remove células mortas e funciona como um excelente emoliente para os fios. Sua propriedade umectante auxilia na absorção e retenção da umidade dos cabelos. Outro poderoso ativo natural presente na composição é o Óleo de Coco rico em ácidos graxos e proteínas que ajudam no fortalecimento dos fios e protege contra a perda de proteína da fibra capilar, além de ter um alto poder de combate à pontas secas. Essa combinação de elementos é o que resulta em fios nutridos, macios e com brilho intenso, digno de salão de beleza!",RAEKECC87,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/creme-de-pentear-leave-in-nutrisim-bela-pro-500-ml-6537379b5b1e3-large.png
Creme esfoliante Luminilifit com Niacinamida e Alpha Arbutin EcoBelle Skin 250g,250g,"49,9",EcoBelle Skin,Em estoque,"O novo Luminilift Creme Esfoliante Uniformizador promove renovação celular, revitaliza a pele e ajuda a uniformizar o tom com uma experiência de skincare premium. Sua rotina de autocuidado acaba de subir de nível.Com Niacinamida e Alpha Arbutin.",J9YY6SF7W,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/creme-esfoliante-luminilifit-com-niacinamida-e-alpha-arbutin-ecobelle-skin-250g-6a0e12317b9e8-large.png
CRONOGRAMA DA LAMA COMPLETO,,1260,Kits La Boue ,Em estoque,LAMA VERDECOMBATA OS RADICAIS LIVRES E REJUVENESÇA OS FIOS LAMA VULCÂNICARECUPERA ATÉ 80% DA MASSA CAPILAR NA PRIMEIRA APLICAÇÃO! LAMA BRANCAPODER CICATRIZANTE QUE BLINDA E PROTEGE OS FIOS.,B8SXJ3U53,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/cronograma-da-lama-completo-6479eeb60c5e5-large.png
Dupla Body Splash BelaPro 200 ml,200 ml,"62,4",Bela Pro,Em estoque,Fragrâncias suaves para usar em todos os momentos!,6337X66EK,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/dupla-body-splash-belapro-200-ml-6a4c0c948a07a-large.png
Emulsão Cremosa Oxidante OX05 Volumes EcoBelle 900 mL,900 mL,32,Blond Hair,Em estoque,"Emulsão cremosa oxidante suavemente perfumada, contendo peróxido de hidrogênio indicado para ativar a coloração oxidante e o pó descolorante. Sua cremosidade e consistência facilitam a mistura com a massa da coloração e a dispersão do pó descolorante, devendo ser utilizado na proporção indicada no modo de usar tanto da coloração oxidante como do pó descolorante. Confere proteção e tratamento cosmético simultâneo de hidratação e emoliência enquanto potencializa a ação da coloração e do descolorante. Melhora a flexibilidade e maleabilidade tornando os cabelos macios.",JYQAJ9FDQ,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/emulsao-cremosa-ox-05-volumes-eco-belle-900-ml-64f209e678dec-large.png
Emulsão Cremosa Oxidante OX10 Volumes EcoBelle 900 mL,900 mL,32,Blond Hair,Em estoque,"Emulsão Cremosa Oxidante, suavemente perfumada, contendo peróxido de hidrogênio indicado para ativar a coloração oxidante e o pó descolorante. Sua cremosidade e consistência facilitam a mistura com a massa da coloração e a dispersão do pó descolorante. Confere proteção e tratamento cosmético simultâneo de hidratação e emoliência, enquanto potencializa a ação da coloração e do descolorante. Melhora a flexibilidade e maleabilidade tornando os cabelos macios. Modo de uso: Em um recipiente não metálico siga a dosagem recomendada na coloração ou no pó descolorante.",3KYSCLPBF,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/emulsao-cremosa-oxidante-ox10-volumes-ecobelle-900-ml-67411a0d22bbe-large.png
Emulsão Cremosa Oxidante OX20 Volumes EcoBelle 900 mL,900 mL,32,Blond Hair,Em estoque,"Emulsão Cremosa Oxidante, suavemente perfumada, contendo peróxido de hidrogênio indicado para ativar a coloração oxidante e o pó descolorante. Sua cremosidade e consistência facilitam a mistura com a massa da coloração e a dispersão do pó descolorante. Confere proteção e tratamento cosmético simultâneo de hidratação e emoliência, enquanto potencializa a ação da coloração e do descolorante. Melhora a flexibilidade e maleabilidade tornando os cabelos macios. Modo de uso: Em um recipiente não metálico siga a dosagem recomendada na coloração ou no pó descolorante.",GVBJKMNWQ,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/emulsao-cremosa-oxidante-ox20-volumes-ecobelle-900-ml-6927b05aad6c2-large.png
Emulsão Cremosa Oxidante OX30 Volumes EcoBelle 900 mL,900 mL,32,Blond Hair,Em estoque,"Emulsão Cremosa Oxidante, suavemente perfumada, contendo peróxido de hidrogênio indicado para ativar a coloração oxidante e o pó descolorante. Sua cremosidade e consistência facilitam a mistura com a massa da coloração e a dispersão do pó descolorante. Confere proteção e tratamento cosmético simultâneo de hidratação e emoliência, enquanto potencializa a ação da coloração e do descolorante. Melhora a flexibilidade e maleabilidade tornando os cabelos macios. Modo de uso: Em um recipiente não metálico siga a dosagem recomendada na coloração ou no pó descolorante.",KX3FZGXKV,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/emulsao-cremosa-ox-30-volumes-eco-belle-900-ml-64f205ce1ecc8-large.png
Emulsão Cremosa Oxidante OX40 Volumes EcoBelle 900 mL,900 mL,32,Blond Hair,Em estoque,"Emulsão Cremosa Oxidante, suavemente perfumada, contendo peróxido de hidrogênio indicado para ativar a coloração oxidante e o pó descolorante. Sua cremosidade e consistência facilitam a mistura com a massa da coloração e a dispersão do pó descolorante. Confere proteção e tratamento cosmético simultâneo de hidratação e emoliência, enquanto potencializa a ação da coloração e do descolorante. Melhora a flexibilidade e maleabilidade tornando os cabelos macios. Modo de uso: Em um recipiente não metálico siga a dosagem recomendada na coloração ou no pó descolorante.",Q4GBW4NRR,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/emulsao-cremosa-ox-40-volumes-eco-belle-900-ml-64f2086601e8c-large.png
Finalizador La Boue Home Care Verte 300ml,300ml,40,Finalizadores,Em estoque,"O Finalizador Home Care La boue Verte da Eco Belle auxilia na regeneração dos fios danificados. Melhora a penteabilidade, repõe minerais e vitaminas e protege os cabelos. Com a Queratina que promove um tratamento mais profundo, os cabelos se recuperam de forma rápida.",CW2L93VRJ,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/finalizador-la-boue-home-care-verte-300ml-6479feb6deb3b-large.png
Finalizador Térmico Coco & Camomila By Vitória Lima 200 mL,200 mL,80,Finalizadores,Em estoque,"O Finalizador Térmico da linha Coco &amp; Camomila foi desenvolvido para finalizar os fios de uma forma eficaz e segura, resultando em fios fortes, brilhosos, saudáveis e protegidos!Conta com ativos de altíssima qualidade, que deixam o tratamento ainda mais completo. A CAMOMILA, um excelente hidratante para os fios, revitalizando e dando vida aos fios. E o ÓLEO DE COCO, um emoliente de grande importância na nutrição dos fios. Esses ativos em conjunto, melhoram os cabelos da raiz até as pontas.",RJZSGEAVY,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/finalizador-termico-coco-camomila-by-vitoria-lima-200-ml-667c4d7031e63-large.png
Gloss Finalizador La Boue Home Care Blanc 300ml,300ml,40,Finalizadores,Em estoque,"Com o Gloss Finalizador La Boue Blanc você deixa seus cabelos nutridos e macios. Sua fórmula contém silicones especiais que repõe as vitaminas e minerais perdidos em processos químicos. Elaborado para finalizar os cuidados em casa e deixar os cabelos com resultado do salão. Contém Óleo de Amêndoas que oferece hidratação aos fios, evitando que a água dos cabelos evapore com facilidade evitando ressecamento.",K6ND8CCHN,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/gloss-finalizador-la-boue-home-care-blanc-300ml-6479f43ac76d2-large.png
Gran Finale Blond Protetor Térmico Eco Belle - 200 mL,200 mL,80,Finalizadores,Em estoque,"O Spray Gran Finale Blond Eco Belle é um matizador instantâneo para cabelos loiros, brancos, descoloridos ou com luzes. Restaura a integridade dos fios ao mesmo tempo em que neutraliza os tons amarelados ou alaranjados indesejados para promover um efeito platinado bonito sem a necessidade de enxágüe. Contém proteção térmica e proteção contra os raios UV.",AYE76QWA3,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/gran-finale-blond-protetor-termico-eco-belle-200-ml-64ef7eb8006b0-large.png
Gran Finale Protetor Térmico Eco Belle - 200 mL,200 mL,80,Finalizadores,Em estoque,O Spray Gran Finale Eco Belle chegou para dar a finalização perfeita para os cabelos! Confere brilho e maciez instantânea para os fios. Contém silicones nobres e uma mistura de aminoácidos que produz proteção para os fios e reparação de danos na superfície. Contém proteção contra os raios UV.,HR6LKXYGJ,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/gran-finale-protetor-termico-eco-belle-200-ml-64ef42b2de208-large.png
Ironed Hair Silver 500g,500g,"114,99",Máscaras,Em estoque,"A Máscara Ironed Hair Matizadora age nos cabelos de forma instantânea, reduzindo o frizz e o volume. Nutre profundamente e age retirando o aspecto amarelado que vai se formando nos cabelos loiros com o tempo. Contém Vitamina D que age na manutenção das células do couro cabeludo, o que garante madeixas muito mais viçosas e macias. Além disso, por influenciar na regulação dos níveis de cálcio e fósforo no corpo, promove a saúde capilar. Resultado: Cabelos com brilho e saudáveis!Modo de Uso: Aplique a Máscara Ironed Hair Matizadora nos cabelos úmidos. Penteie com um pente ate que todos os fios estejam com o produto. Deixe agir por alguns segundos e enxágue. Finalize como desejar.",U292SXL8P,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/ironed-hair-silver-500g-67411caf256a1-large.png
Kit Coco & Camomila by Vitória Lima EcoBelle - 300 mL,300 mL,269,Kits Ecobelle,Em estoque,"A linha Coco &amp; Camomila by Vitória Lima EcoBelle foi desenvolvida com esses dois maravilhosos ativos que proproporcionam juntos luminosidade e maciez aos cabelos. A camomila traz muitos benefícios aos fios além do brilho e luminosidade natural, acalma e refresca o couro cabeludo ao passo que faz uma limpeza delicada. Além disso as propriedades da camomila ajudam no processo de nutrição e hidratação, revitalizando os fios. Já o poderoso óleo de coco, presente nessa formulação, deixa os fios extremamente macios, penetra na fibra capilar, devolvendo os nutrientes que os cabelos precisam para fugir do aspecto ressecado.",3SSKRFEP5,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-coco-camomila-by-vitoria-lima-ecobelle-300-ml-66cf3cd879731-large.png
Kit Curlys Cachos Bela Pro,,80,Kits Bela Pro,Em estoque,"A Máscara Curlys Cachos da Bela Pro compõe o kit desenvolvido especialmente para quem quer cuidar dos cachos com resultado de salão! Possui em sua formulação o poderoso óleo de Rícino que proporciona nutrição instantânea, também rico em vitamina E ajuda no fortalecimento e crescimento das madeixas. Outro ativo que compõe a formulação é famoso óleo de coco que além de promover hidratação e nutrição aos fios, diminui a opacidade dando brilho e melhor definição aos cachos.",7TNHTQDUL,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-curlys-cachos-bela-pro-66c69c30593a1-large.png
Kit doÈden Capim-Limão e Alecrim,,120,Kits Ecobelle,Em estoque,"A Linha doÈden EcoBelle foi desenvolvida tendo como ativo principal o óleo essencial de Capim Limão e Alecrim, juntos ajudam a controlar a oleosidade excessiva do couro cabeludo e fortalece os fios fracos e quebradiços sem ressecá-los. Enriquecido com silicones especiais trata as pontas secas dos cabelos, deixando os fios equilibrados da raiz às pontas.",2QSQFLXZ6,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-doeden-capim-limao-alecrim-6479e42ea3cfc-large.png
Kit Experiência Shine Express - 1 coloração + 1 Ox 05 vol. 90ml,90ml,"136,9",Shine Express,Em estoque,"Kit Shine Express Experimente a Nova Geração da Coloração Shine para CamuflagemO Kit Shine Express foi desenvolvido para quem deseja conhecer a experiência da coloração Shine Express de forma prática e acessível.Composto pela Coloração Creme Permanente + OX 5 Volumes 90 mL, o kit proporciona aplicação técnica, brilho intenso e efeito uniforme, auxiliando na camuflagem dos fios brancos com aparência natural e sofisticada.Ideal para testar a performance da linha, conhecer a tecnologia da fórmula e sentir o acabamento luminoso e elegante que a Shine Express oferece aos fios. Cobertura homogênea Efeito de camuflagem dos fios brancos Brilho intenso Fórmula livre de PPD e chumbo *Uso profissional",XU2KNTS48,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-experiencia-shine-express-1-coloracao-1-ox-05-vol-90ml-6a0e2814d77a6-large.jpeg
Kit HidraSim Bela Pro,,"137,9",Kits Bela Pro,Em estoque,"A linha HidraSim da Bela Pro, foi desenvolvida para doar mais hidratação aos cabelos sensibilizados e devolver vida aos fios. Fórmula enriquecida com Pantenol, ativo fundamental para hidratação profunda dos fios por possuir o poder de atrair e reter a umidade dos cabelos, além de combater radicais livres. Silicones especiais também contemplam a formulação dando mais efeito aos cabelos danificados, resultando num cabelo macio, hidratado e com muito brilho!",LPGSTQBW8,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-hidrasim-bela-pro-66c69d55659b2-large.png
Kit Indústria pra Favela 280 mL,280 mL,"17,6",Projeto Indústria pra Favela,Em estoque,"O Shampoo e Condicionador Indústria pra Favela foi desenvolvido com um blend de extratos vegetais para beneficiar cabelos de todos os tipos. Fórmula coringa rica em óleo de coco, óleo de rícino e silicones especiais. Resultado: Cabelos nutridos, sedosos e com muito brilho!",DQK7LP4BP,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-industria-pra-favela-280-ml-66c6a03f4913f-large.png
Kit Indústria pra Favela 450 mL,450 mL,"23,99",Projeto Indústria pra Favela,Em estoque,"O Shampoo e Condicionador Indústria pra Favela foi desenvolvido com um blend de extratos vegetais para beneficiar cabelos de todos os tipos. Fórmula coringa rica em óleo de coco, óleo de rícino e silicones especiais. Resultado: Cabelos nutridos, sedosos e com muito brilho!",EF5ASHTNC,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-industria-pra-favela-450-ml-66c69ecf1397b-large.png
Kit Indústria pra Favela 800 mL,800 mL,"34,99",Projeto Indústria pra Favela,Em estoque,"O Shampoo e Condicionador Indústria pra Favela foi desenvolvido com um blend de extratos vegetais para beneficiar cabelos de todos os tipos. Fórmula coringa rica em óleo de coco, óleo de rícino e silicones especiais. Resultado: Cabelos nutridos, sedosos e com muito brilho!",NFHWURMJ4,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-industria-pra-favela-800-ml-66c69f3bc524e-large.png
Kit La Boue Blanc Eco Belle Argila Branca 500ml,500ml,380,Kits Ecobelle,Em estoque,"O Shampoo Quartzo La Boue Branc com Avelã Eco Belle é um produto de alto desempenho na limpeza capilar. Limpa sem agredir os fios, proporcionando uma reposição de vitaminas e sais minerais. O Extrato de Avelã tem ação emoliente, amaciante e suavizante, permitindo que os cabelos sejam nutridos já na lavagem. A Máscara para Tratamento de Alta Performance à base de Argila Branca com Aquiléia da Eco Belle possui fórmula especial para os cuidados dos cabelos. O extrato de Aquileia possui propriedade adstringente e reduz a secreção sebácea. Age como anti-inflamatório, cicatrizante e antisséptico.﻿Produto de última geração em Cosmético Profissional. O Selante Capilar La Boue Blanc Eco Belle contém ativos de alta tecnologia que selam os fios e devolvem as vitaminas perdidas em processos químicos e outras agressões diárias. Contém PCA Sódico e Arginina que agem protegendo a cor dos fios. Resultado: Cabelos nutridos e protegidos",QV886TX2F,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-la-boue-blanc-eco-belle-argila-branca-500ml-6479f62ed6204-large.png
Kit La Boue Blanc Home Care 3 Itens,,120,Kits Ecobelle,Em estoque,"O Shampoo Reconstrutor La Boue Blanc Home Care foi desenvolvido para cuidar dos cabelos em casa com resultado de salão! Unindo os Extratos de Aloe Vera e Jaborandi, o Shampoo Home Care La Boue Blanc traz para os cabelos propriedades importantes que restauram e protegem a fibra capilar. O Extrato de Jaborandi auxilia no tratamento contra a queda capilar. O Condicionador Fortalecedor Home Care La Boue Blanc veio para complementar os cuidados com os cabelos promovendo efeito de salão! Com ativos de última geração, o Condicionador Fortalecedor nutre profundamente os cabelos e protege contra danos diários que afetam diretamente a fibra capilar. O Extrato de Mandioca fortalece e hidrata enquanto o Óleo de Girassol age controlando o frizz, nutrindo, prevenindo contra quebra e a queda dos cabelos.Com o Gloss Finalizador Home Care La Boue Blanc você deixa seus cabelos nutridos e macios. Sua fórmula contém silicones especiais que repõe as vitaminas e minerais perdidos em processos químicos. Elaborado para finalizar os cuidados em casa e deixar os cabelos com resultado do salão. Contém Óleo de Amêndoas que oferece hidratação aos fios, evitando que a água dos cabelos evapore com facilidade evitando ressecamento.",PML3C9J4M,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-la-boue-blanc-home-care-3-itens-6479fa8b93395-large.png
Kit La Boue Verte EcoBelle 500ml,500ml,380,Kits Ecobelle,Em estoque,"O Shampoo Quartzo La Boue Verte com Aloe Vera Eco Belle é um produto de alto desempenho na limpeza capilar. Limpa sem agredir os fios, proporcionando uma reposição de vitaminas e sais minerais. Contém Aloe Vera que tem ação emoliente, cicatrizante, tonificante, entre outros benefícios. Os Polímeros multifuncionais proporcionam uma excelente lubricidade aos cabelos e um brilho superior. A Máscara para Tratamento de Alta Performance à base de Argila Verde com Gerânio da Eco Belle possui fórmula especial para os cuidados dos cabelos. Composta por silicones nobres e polímeros multifuncionais que repõem as vitaminas e os sais minerais perdidos pelos processos químicos e agressões diárias nos cabelos. Entre inúmeros benefícios, o Óleo de Gerânio é perfeito para cabelos secos e oleosos. Age nas glândulas sebáceas presentes em nosso couro cabeludo regulando a secreção de sebo nutrindo e tonificando o couro cabeludo.O Selante Capilar La Boue Verte Eco Belle é um produto de última geração em Cosmético Profissional. Contém ativos de alta tecnologia que selam os fios e devolvem as vitaminas perdidas em processos químicos e outras agressões diárias. Contém PCA Sódico e Arginina que agem protegendo a cor dos fios. Os Polímeros Multifuncionais promovem alto teor lipídico aos fios tornando-os luminosos. Ajudam a fixação dos ativos proteicos e minerais em toda a extensão da fibra capilar. Produto que atua como condicionante e restaurador dos fios.",9FNYY9DS2,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-la-boue-verte-ecobelle-500ml-6479ff54d628c-large.png
Kit La Boue Verte Home Care 3 Itens,,120,Kits Ecobelle,Em estoque,"Formulado com Extrato de Chá Verde e Hortelã, o Shampoo Regenerador Home Care La Boue Verte cuida dos seus cabelos e promove resultado de salão! Limpa sem agredir os fios e com fragrância suave. Regenera e cuida de dentro para fora!O Condicionador Reestruturante Home Care La Boue Verte da Eco Belle age profundamente nos fios. Elaborado para continuar os cuidados dos cabelos em casa, o Condicionador Reestruturante possui em sua formulação o Extrato de Coco que devolve o brilho aos fios e a Proteína da Seda que hidrata e melhora a força elástica capilar, formando um filme nos cabelos, protegendo-os contra agentes externos agressivos.O Finalizador Home Care La Boue Verte da Eco Belle auxilia na regeneração dos fios danificados. Melhora a penteabilidade, repõe minerais e vitaminas e protege os cabelos. Com a Queratina que promove um tratamento mais profundo, os cabelos se recuperam de forma rápida.",9YJ4AHVMU,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-la-boue-verte-home-care-3-itens-647a01b4e038b-large.png
