Produto,peso,Preço,Categoria,Estoque,Descrição,SKU,Imagem
Shampoo Manutenção Lama La Boue EcoBelle 300 mL,300 mL,40,Shampoo,Em estoque,"Shampoo Remineralizante La Boue Eco Belle 300 ML protege os fios das agressões do dia a dia mantendo seus cabelos brilhantes, luminosos e saudáveis, graças aos minerais que o compõe. Desenvolvido com agentes surfactantes capazes de remover as sujidades dos cabelos e couro cabeludo por possuírem uma estrutura diferenciada. Além dos surfactantes o shampoo possui agentes condicionantes, que iniciam o processo de condicionamento da fibra durante a lavagem; aditivos funcionais e uma fragrância diferenciada, usada para deixar nos cabelos um perfume agradável após a limpeza. Modo de uso: Com o cabelo molhado, aplicar na palma da mão uma pequena quantidade de produto, em seguida, distribuir uniformemente nos cabelos realizando uma massagem com as pontas dos dedos para cobrir toda a sua extensão, enxaguar. É importante não esfregar ou aplicar diretamente o shampoo no comprimento do cabelo, a estrutura do cabelo não precisa de uma limpeza tão profunda como a pele e couro cabeludo. Repetir a aplicação se necessário.",E35TQSMD8,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-manutencao-lama-la-boue-ecobelle-300-ml-6927b291331e6-large.png
Shampoo Matizador Eco Belle 1 L - NOVA EMBALAGEM,1 L,120,Blond Hair,Em estoque,"O Shampoo Matizador Eco Belle 1L neutraliza a tonalidade dourada ou amarelada que vai se formando com o passar do tempo nos cabelos louros, tornando-os perfeitamente limpos enquanto preserva a fragilidade dos fios.Modo de uso: Lave os fios com o Shampoo Matizador Eco Belle a fim de retirar os resíduos acumulados no dia a dia. Enxágue e aplique novamente começando pelas pontas deslizando os fios entre os dedos até alcançar a raiz. Massageie suavemente o couro cabeludo até que se forme uma espuma rica e cremosa. Enxágue abundantemente e aplique o Condicionador Matizador Eco Belle.",EHE34PCDP,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-matizador-eco-belle-1-l-nova-embalagem-6927aec0d725f-large.png
Shampoo Matizador Eco Belle 300ml,300ml,40,Shampoo,Em estoque,"Shampoo Matizador EcoBelle 300 ml Composto por corantes de alta performance capilar, o Shampoo Matizador EcoBelle neutraliza a tonalidade amarelada que surge com o passar do tempo e das agressões nos cabelos loiros, tornado-os perfeitamente matizados, platinados, radiantes, limpos e saudáveis sem ressecar os fios. Desenvolvido com agentes surfactantes capazes de remover as sujidades dos cabelos e couro cabeludo por possuírem uma estrutura diferenciada. Além dos surfactantes o shampoo possui agentes condicionantes, que iniciam o processo de condicionamento da fibra durante a lavagem, aditivos funcionais, corantes de alta performance e uma fragrância diferenciada, usada para deixar nos cabelos um perfume agradável após a limpeza. Modo de Uso: Com o cabelo molhado, aplicar na palma da mão uma pequena quantidade de produto, em seguida, distribuir uniformemente nos cabelos realizando uma massagem com as pontas dos dedos para cobrir toda a sua extensão, enxaguar. É importante não esfregar ou aplicar diretamente o shampoo no comprimento do cabelo, a estrutura do cabelo não precisa de uma limpeza tão profunda como a pele e couro cabeludo. Repetir a aplicação se necessário.",DGU9G5RVQ,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-matizador-eco-belle-300ml-67412d0f82b5a-large.png
Shampoo NutriSim Bela Pro 500 mL,500 mL,28,Bela Pro,Em estoque,"A linha Nutrisim Bela Pro foi desenvolvida com os mais poderosos ativos naturais para nutrir e revitalizar os fios secos, fracos ou quebradiços. A Manteiga de Karité presente na formulação contém Vitamina E com ação antioxidante, que remove células mortas e funciona como um excelente emoliente para os fios. Sua propriedade umectante auxilia na absorção e retenção da umidade dos cabelos. Outro poderoso ativo natural presente na composição é o Óleo de Coco rico em ácidos graxos e proteínas que ajudam no fortalecimento dos fios e protege contra a perda de proteína da fibra capilar, além de ter um alto poder de combate à pontas secas. Essa combinação de elementos é o que resulta em fios nutridos, macios e com brilho intenso, digno de salão de beleza!",ZR936JBFC,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-nutrisim-bela-pro-500-ml-653735fca65f4-large.png
Shampoo Pimenta Rosa Eco Belle 300 mL,300 mL,35,Shampoo,Em estoque,"O Shampoo Pimenta Rosa Eco Belle faz parte de uma linha completa tendo como ativo o óleo de Pimenta Rosa proporcionando vários benefícios para os cabelos. Rica em vitaminas A, B1, B6, C e ácido fólico, dão aos cabelos brilho e força à medida que a capsaicina, outro composto do maravilhoso óleo de pimenta rosa, auxilia no crescimento dos fios por estimular a circulação do sangue e irrigar o bulbo capilar. Com esse misto de benefícios o resultado é de cabelos sedosos, cheios e com muito brilho!",PMNPTTBYM,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-pimenta-rosa-eco-belle-300-ml-64ef8d6bc5337-large.png
Shampoo Quartzo La Boue Branc com Avelã Eco Belle 500 ml,500 ml,80,Shampoo ,Em estoque,"O Shampoo Quartzo La Boue Branc com Avelã Eco Belle é um produto de alto desempenho na limpeza capilar. Limpa sem agredir os fios, proporcionando uma reposição de vitaminas e sais minerais. O Extrato de Avelã tem ação emoliente, amaciante e suavizante, permitindo que os cabelos sejam nutridos já na lavagem.",YCP5J38EF,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-quartzo-la-boue-branc-com-avela-eco-belle-500-ml-6479f5304400a-large.png
Shampoo Quartzo Liquide La Boue EcoBelle 300ml,300ml,40,Shampoo,Em estoque,"Shampoo Quartzo Liquide La Boue Eco Belle 300 mL Composto por microminerais, conjunto de elementos químicos inorgânicos necessários aos seres humanos, que desempenham diversas funções metabólicas no organismo, Oligoelementos: agentes normalizadores do sistema capilar reestruturadores da estrutura interna do fio e Quartzo Líquido: atuam como agentes microesfoliantes das cutículas danificadas e do couro cabeludo. Produto de alta performance na limpeza capilar, limpa sem agredir os fios promovendo uma microesfoliação, proporcionando uma deposição de microminerais. Bioenergizante e catalizador que restaura a vitalidade e a luminosidade da pele e dos cabelos. Desenvolvido com agentes surfactantes capazes de remover as sujidades dos cabelos e couro cabeludo por possuírem uma estrutura diferenciada. Além dos surfactantes o shampoo possui agentes condicionantes, que iniciam o processo de condicionamento da fibra durante a lavagem; aditivos funcionais, microminerais, oligoelementos, quartzo líquido e uma fragrância diferenciada, usada para atrair os consumidores e deixar nos cabelos um perfume agradável após a limpeza.Modo de uso: Com o cabelo molhado, aplicar na palma da mão uma pequena quantidade de produto, em seguida, distribuir uniformemente nos cabelos realizando uma massagem com as pontas dos dedos para cobrir toda a sua extensão, enxaguar. É importante não esfregar ou aplicar diretamente o shampoo no comprimento do cabelo, a estrutura do cabelo não precisa de uma limpeza tão profunda como a pele e couro cabeludo. Repetir a aplicação se necessário. Siga para o passo 2.",6LFK8W4AH,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-quartzo-liquide-la-boue-ecobelle-300ml-647a290bac5e1-large.png
Shampoo Quartzo Liquide La Boue EcoBelle 500ml,500ml,80,Shampoo,Em estoque,"Shampoo Quartzo Liquide La Boue Eco Belle 500 mL Composto por microminerais, conjunto de elementos químicos inorgânicos necessários aos seres humanos, que desempenham diversas funções metabólicas no organismo, Oligoelementos: agentes normalizadores do sistema capilar reestruturadores da estrutura interna do fio e Quartzo Líquido: atuam como agentes microesfoliantes das cutículas danificadas e do couro cabeludo. Produto de alta performance na limpeza capilar, limpa sem agredir os fios promovendo uma microesfoliação, proporcionando uma deposição de microminerais. Bioenergizante e catalizador que restaura a vitalidade e a luminosidade da pele e dos cabelos. Desenvolvido com agentes surfactantes capazes de remover as sujidades dos cabelos e couro cabeludo por possuírem uma estrutura diferenciada. Além dos surfactantes o shampoo possui agentes condicionantes, que iniciam o processo de condicionamento da fibra durante a lavagem; aditivos funcionais, microminerais, oligoelementos, quartzo líquido e uma fragrância diferenciada, usada para atrair os consumidores e deixar nos cabelos um perfume agradável após a limpeza.Modo de uso: Com o cabelo molhado, aplicar na palma da mão uma pequena quantidade de produto, em seguida, distribuir uniformemente nos cabelos realizando uma massagem com as pontas dos dedos para cobrir toda a sua extensão, enxaguar. É importante não esfregar ou aplicar diretamente o shampoo no comprimento do cabelo, a estrutura do cabelo não precisa de uma limpeza tão profunda como a pele e couro cabeludo. Repetir a aplicação se necessário. Siga para o passo 2.",ELGU4ASKD,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-quartzo-liquide-la-boue-ecobelle-500ml-647a297794663-large.png
Shampoo Remineralizante Extrato de Algas Marinhas Eco Belle 1 L,1 L,"34,99",Algas Marinhas,Em estoque,"O Shampoo Remineralizante Algas Marinhas Eco Belle devolve aos fios as propriedades perdidas durante os processos químicos em geral. Penetra profundamente na estrutura dos fios, tornando os cabelos mais macios, hidratados e menos quebradiços. Shampoo com Ação Imediata.",YAY98Z8BS,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-remineralizante-extrato-de-algas-marinhas-eco-belle-1-l-65faebd9b4e35-large.png
Shampoo Silver Platinum Bela Pro 300 mL,300 mL,27,Bela Pro,Em estoque,"A linha Silver Platinum Bela Pro foi especialmente desenvolvida para cabelos loiros, descoloridos, com mechas ou grisalhos. Sua fórmula possui o poderoso Jaracol Violet 43 que tem a exclusiva propriedade de ocultar as matizes amarelas nos cabelos desbotados. O extrato de Macadâmia auxilia no condicionamento e hidratação deixando os cabelos mais emolientes. Resultado: Cabelos mais iluminados e macios!",SZZTX7YWH,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-silver-platinum-bela-pro-300-ml-65373248b1354-large.png
